분류,글귀
깨우쳐서 깨우침을 깨우쳤고 방법을 방법에,물고기를 주어라. 한 끼를 먹을 것이다. 물고기 잡는 법을 가르쳐 주어라. 평생을 먹을 것이다. 탈무드
게으르게 게으른 게을러서 게을렀다 게을러,태만은 천천히 움직이므로 가난이 곧 따라잡는다. 프랭클린
계속해서 꾸준히 꾸준하게 꾸준함을 반복해서,작은 도끼라도 찍고 찍으면 큰 참나무는 넘어진다. 세익스피어
참고 참아내고 참았고 참아서 참았는데,절제는 모든 미덕의 진주 고리를 이어주는 비단의 실이다. 홀
가능성이 가능성을 잠재력이 잠재력을,"1퍼센트의 가능성, 곧 그것이 나의 길이다. 나폴레옹"
과거에 과거를 후회하지 후회하고 후회하며 후회하는,"내일에 아무런 도움이 되지 않는다면, 당신의 과거는 쫓아버려라. 오슬러"
마무리를 마무리가 끝이 유종의 유종의미를,중요한 건 당신이 어떻게 시작했는가가 아니라 어떻게 끝내는가이다. 앤드류 메튜스
최선을 주어진 다하면 계속 계속해서 꾸준히 꾸준하게 꾸준함을 반복해서 하다보면,어쨌든 노력을 계속하세요. 그렇게 하는 가운데 언젠가는 반드시 자신과 용기가 솟아나게 될 것입니다. 다란벨
목표를 목표가 목표설정을 목표,목표란 우리들이 계속 앞으로 나아가도록 해주는 것이다. 앤드류 메튜스
최선을 주어진 다하면 계속 계속해서 꾸준히 꾸준하게 꾸준함을 반복해서 하다보면,오늘을 붙들어라! 되도록 내일에 의지하지 말라! 그날 그날이 일년 중에서 최선의 날이다. 에머슨
소소한 사소한 행운이 행운을,행운은 자주 문을 두드리나 미련한 자는 그것을 받아들이지 않는다. 덴마크 속담
양심을 양심에 양심있게 양심있는,선은 오직 하나 밖에 없다. 그것은 자기 양심에 따라 행동하는 일이다. 보봐르
힘들었던 힘들었다 힘들었는데 힘들어서 힘들던,추위에 떤 자일수록 태양의 따뜻함을 느낀다. 인생의 고뇌를 맛본 자일수록 생명의 존귀함을 느낀다. 호이토 맨
분한 화가 화나서 화나는 참아야 참아서 참았는데 참는,한때의 분한 감정일랑 참으라. 그러면 백일의 근심을 모면할 것이다. 경함록
게으르게 게으른 게을러서 게을렀다 게을러 게으름 빈둥대는 빈둥대서 빈둥거려서,게으름은 쇠붙이의 녹과 같다. 노동보다도 더 심신을 소모시킨다. 프랭클린
기회를 기회는 기회가,"기회는 새와 같은 것, 날아가기 전에 꼭 잡아라. 스마일즈"
도박을 도박이 내기를 내기해서,도박을 즐기는 모든 인간은 불확실한 것을 얻기 위해서 확실한 것을 걸고 내기를 한다. 파스칼
실수를 실수해서 질문을,한 번 실수하는 것보다 두 번 묻는 것이 더 낫다. 독일 속담
기회비용은 기회비용을 기회비용이,가시에 찔리지 않고서는 장미꽃을 모을 수가 없다. 필페이
봉사활동 봉사를 봉사활동을 나눔의 베푸는 베풀고 베풀어서,기쁨을 주는 사람만이 더 많은 기쁨을 즐길 수 있다. 알렌산더 듀마
봉사활동 봉사를 봉사활동을 나눔의 베푸는 베풀고 베풀어서,네가 가지고 있는 최선의 것을 세상에 주라. 그러면 최선의 것이 돌아오리라. M.A 베레
돌다리도 주의를 주의깊게 조심히 조심해서 조심하는,얇은 얼음에서 스케이트를 탈 때 우리의 안전은 속도에 있다. 에머슨
인생은 존재의 존재에 선택에 선택의 결과가,인간이란 미소와 눈물 사이를 왕래하는 시계추와 같은 것이다. 바이런
리더 리더의 리더가 리더는,남을 따르는 법을 알지 못하는 사람은 좋은 지도자가 될 수 없다. 아리스토텔레스
방향을 방향이 선택이 선택을 어떻게 어떡하면,위대한 것은 방향을 결정하는 것이다. 니체
쫓기는 쫓기지 쫓겨 시간에,일을 쫓아라. 일에 쫓기지 말라. 프랭클린
부주의해서 주의를 주의해서 주의하는 입조심을 입조심하고 입조심하는 입조심해야 말조심을 말조심하고 말조심하는 말조심해야,"행동에 부주의하지 말며, 말에 혼동되지 말며, 생각에 방황하지 말라. 마르크스아우렐리우스"
준비하는 준비하고 대비하는 행운이,행운은 마음의 준비가 있는 사람에게만 미소를 짓는다. 파스퇴르
말한마디 말조심을 말조심하고 말조심하는 말조심해야,친절한 말은 봄볕과 같이 따사롭다. 러시아 속담
시도 첫도전 첫번째 도전하고 도전하는 노력하는 시도하는,계단을 밟아야 계단 위에 올라설 수 있다. 터키 속담
꿈을 향해 도전하고 도전하는 노력하는,오랫동안 꿈을 그리는 사람은 마침내 그 꿈을 닮아간다. 앙드레 말로
한걸음씩 조금씩 꾸준히 꾸준하게 주어진 다하면 계속해서,좋은 성과를 얻으려면 한 걸음 한 걸음이 힘차고 충실하지 않으면 안된다. 단테
독서 책을 책읽는 책 독서하는 독서를,독서가 정신에 미치는 영향은 운동이 육체에 미치는 영향과 같아. 에디슨
엄마가 엄마를 어머니를 어머니가 효도 효도하고 효도를,세계와 나의 어머니를 저울질 한다면 세계 쪽이 훨씬 가벼울 것이다. 랑구랄
자존심을 자존심이 자존심까지,성공하기를 바라는 자는 자존심까지도 포기해야 할 것이다. C. 힐티
생각해서 생각하는 생각을 생각은 생각이하는대로 마음가짐이 마음가짐을 마음가짐으로이 마음가짐이 마음가짐을 마음가짐으로을,인간은 자기가 생각하고 있는 것과 같은 인간이 된다. 힌두교 경전
불필요한 무소유 무소유를 무소유에 비움을,무소유란 아무것도 갖지 않는 것이 아니라 불필요한 것을 갖지 않는다는 것이다. 법정 스님
비교하지 비교하는 비교하면 비교당해서 비교당하는 비교당했던,남의 생활과 비교하지 말고 네 자신의 생활을 즐겨라. 콩도르세
의욕이 의욕적인 의욕,의욕적인 목표가 인생을 즐겁게 한다. 로버트 슐러
마지막까지 끝까지 꾸준히 꾸준하게,끝까지 하면 프로다. 김창완
배움이 배우고 묻고 깊게 깊이,"넓게 배우고, 의문이 있으면 곧 묻고, 삼가 이를 깊이 생각하라. 중용"
경험이 경험을 겪어보는 겪는,학문 없는 경험은 경험 없는 학문보다 낫다. 서양 격언
집중해서 집중과,성공하는 사람은 송곳처럼 어느 한 점을 향하여 일한다. 보비
아는체 모르면 솔직하게 솔직한,"아는 것을 안다 하고, 모르는 것을 모른다 하는 것이 말의 근본이다. 순자"
말조심을 말조심하고 말조심하는 말조심해야 입조심을 입조심하고 입조심하는 입조심해야,말도 아름다운 꽃처럼 그 색깔을 지니고 있다. E.리스
구속하고 구속하는,사랑은 지배하는 것이 아니라 자유를 주는 것이다. 에리히 프롬
도전하는 도전하고 실행하는 실행하고,승자는 문제 속에 뛰어든다. 패자는 문제의 변두리에서만 맴돈다. 빅토르 위고
배우고 배움은 배워야 실행하고 실행하는,오늘 죽을 것처럼 행동하고 영원히 살 것처럼 배워라. 간디
희망을 긍정적인 긍정적으로,희망을 가져본 적이 없는 자는 절망할 자격도 없다. 버나드 쇼
용기있게 용기있는 용기를 용기가,용기는 악운을 깨뜨린다. 세르반테스
자기개발 자기계발 미래를 미리 준비하는,자신의 능력을 개발하지 않는 자는 때로는 자신을 멸망시킨다. 토마스 칼라일
대충 대충대충 대충해서 대충했는데,대충대충 하려면 아예 시작도 하지 말라. 성신제
자기개발 자기계발 미래를 미리 준비하는,준비에 실패하는 것은 실패를 준비하는 것이다. 데일카네기
자신감이 자신감을,이긴다고 생각하면 이긴다. 승리는 자신감을 가진 사람의 편이다. 가토 마사오
계속해서 꾸준히 꾸준하게 꾸준함을 반복해서 목표를,성공의 비밀은 목표의 지속성에 있다. 벤저민 디즈라엘리
개선을 개선점 개선점을 개선하여 나은 변화를,날마다 하던 방식대로 하고 있다면 그건 확실히 잘못된 것이다. 찰스 케터링
실수를 실수해서 만회하고 만회하여 만회해서 만회하는,인생은 실수를 저지르고 실수를 고쳐나가는 과정이다. 요나스 서크
용서하고 용서하는 용서할 용서를 복수하고 복수를,용서처럼 완전한 복수는 없다. 조쉬 빌링스
고생끝에 고생 고생했고 고생해서 수고했다 수고했고,구름이나 소나기가 없이는 결코 무지개가 서지 않는다. J.H. 빈센트
믿음을 믿어서 믿었고 믿었는데 믿고,모든 공포는 믿음의 결핍으로부터 나온다. 간디
의욕이 의욕적인 의욕,의욕만 있다면 할 일은 얼마든지 있다. 쿠사카 카만도
버티고 버티는 버티다보면 버틸 견뎌 견디고 견디는 견딜,나를 죽이지 못하는 것은 끝내 나를 강하게 만들리라. 니체
빈둥대는 빈둥대지 빈둥거리는 빈둥거리고 공허하게 공허한,빈둥대는 것과 공허하게 있는 것보다 더 유해한 것은 없다. 마르쉘 휼
계속해서 꾸준히 꾸준하게 꾸준함을 반복해서 목표를,진정한 성공에 지름길은 없다. 마이클 조던
용기있게 용기있는 용기를 용기가,용기가 없으면 어떤 것도 이룰 수 없다. 괴테
노력하는 노력하고 노력해서 즐기는 천재는 노력형 꾸준히 꾸준한 꾸준하게 인내하고 인내하는 의지를 의지박약인,천재는 노력하는 사람을 이길 수 없고 노력하는 사람은 즐기는 사람을 이길 수 없다. 롤프 메르쿨레
노력하는 노력하고 노력해서 열심히 성공하고 성공해야 성공할 결과가 결과를 꾸준히 꾸준하게 꾸준한 인내하는,"성공이란 결과로 측정하는 게 아니라, 그것에 소비한 노력의 총계로 따져야 할 것이다. 에디슨"
게으르게 게으르지 게을러 게을러서 게으른 게으름 보상을 보상받고 결과과 결과를 열심히 부지런히 대가를,가장 바쁜 사람이 가장 많은 시간을 갖는다. 부지런히 노력하는 사람이 결국 많은 대가를 얻는다. 알렉산드리아 피네
인내하고 인내하는 참는 참고 견디는 견뎌 견딜 의지를 의지박약인 노력하는 노력하고 성공을 성공할,"의지, 노력, 기다림은 성공의 주춧돌이다. L.파스퇴르"
인내하고 인내하는 참는 참고 견디는 견뎌 견딜 열정이 열정 열심히 꾸준히 꾸준한 참는,인내없는 열정은 광기에 불과하다. 토마스 홉스
인내하고 인내하는 참는 참고 견디는 견뎌 견딜 노력하는 노력하고 목적을 달성하는 달성하고 끈기를,목적을 이루기 위해서 오랜 인내를 하기보다는 눈부신 노력을 하는 편이 쉽다. 라 브뤼에르
인내하고 인내하는 참는 참고 견디는 견뎌 의지를 도전하고 도전 응원하는 노력하는 노력하고,모든 것을 인내로 대하는 사람만이 모든 것에 도전한다. 바우베낙스
노력하는 노력하고 보상을 열정을 열심히 응원받고 응원하고 응원하는 의지를 의지박약인,노력이 적으면 얻는 것도 적다. 인간의 재산은 그의 노고에 달렸다. 헤리크
실천하는 실천하고 실천이 행동이 행동을 실행을 실행하기 용기를 응원받고 계획을 계획하고 계획한 계획해서,추상적인 노력보다 구체적인 계획들을 실천해야 성공한다.
노력하는 노력하고 노력을 성공하고 성공을 믿음을 믿고 열심히 꾸준히 꾸준하게 자신감을 자신감이 자신감,"노력은 성공을 가져다 주는 것은 아니지만, 나를 배신하지는 않을 것이다."
믿는대로 생각대로 믿고 믿음을 믿는 노력하는 노력하고 노력해서 실천하는 실천을 자신감을 생각하는대로,당신이 할 수 있다고 믿든 할 수 없다고 믿든 믿는대로 될 것이다. 헨리 포드
믿음을 믿고 믿는 믿음 포기하고 포기하는 의지를 꾸준히 꾸준하게 꾸준한 인내심이 인내를 인내심을,세상에 잘못된 결정은 없다. 끝까지 포기하지 않는다면. 보도 섀퍼
인내심을 인내하고 인내하는 포기하는 극복하고 극복하는 절망적인 불안한 불안해서 불안한 고민이 고민을 고민되는,성공의 비결은 좌절하지 않고 극복하는 데 있다. 발자크
꾸준히 꾸준한 꾸준하게 노력하는 노력하고 행동을 실천을 실천하는 의지를 의지박약인 매일매일 실행하는,매일매일 꾸준하게 노력하고 행동하라. 그랜트 카돈
노력하는 노력하고 꾸준히 꾸준한 꾸준하게 의지를 의지박약인 실천하는 성장을 성장하고 실행하는 행동하고,"오늘 당신이 하는 것은, 당신의 내일을 성장시킬 수 있다."
행동을 실천을 의욕이 변화를 변화시키고 변화가 성장하는 성장하고 지금 당장,"오늘 당신의 인생을 변화시켜라. 미래에 모험을 걸려고 하지 말고, 지금 행동하라. 지체 없이."
목표설정을 목표를 시작하고 의욕을 의욕이 도전하는 도전하고 실행을 실행하는 행동을 행동하는,목표를 설정하는 것은 보이지 않는 것을 보이는 것으로 바꿔주는 첫번째 단계다.
진심을 진심으로 노력하는 노력하고 노력해서 성공을 꾸준히 꾸준하게 인내하고 인내하는 열정을 의지를 의지박약인,당신의 온 마음을 다해 일하면 당신은 성공할 것이다.
성장하고 성장을 힘들어서 힘들고 힘들어 힘든 힘들다는 좌절감을 좌절하는 절망감을 절망을 절망하게 절망하는,성장과 편안함은 한 방에 있을 수 없습니다. 조슈아 필즈 밀번
자아성찰을 반성을 반성하는 반성하고 자기반성을,내가 생각해도 한 번쯤 만나보고 싶은 사람이 되세요.
열정을 열정이 참고 참는 견디는 견딜 견뎌 버티고 버티는 버텨서 버틸 꾸준히 꾸준하게,포기하고 싶어지면 애초에 왜 그렇게 오래 버텼는지를 기억하세요.
도전하는 도전을 도전적인 참고 참는 견디는 견딜 견뎌 버티고 버티는 버틸 꾸준히 꾸준하게,"멈추고 싶을 때면, 시작했던 이유를 생각해보세요."
후회하는 후회가 후회하고 힘든 힘들어서 나약한 나약해서 나약함을 지나온 버텨온 버틴,"인생에 후회는 없습니다. 당신에게 일어나는 모든 일은 이유가 있습니다. 지나온 힘든 시간은 성격을 만들고, 나를 훨씬 강력한 사람으로 만들어줍니다. 리타 메로"
믿음을 믿고 믿는 믿음 의지를 의지박약인 의욕이 의욕저하 자신감 자신감을 자신감이,나는 할 수 있고 해낼 겁니다.
생각대로 생각이 생각하는대로 행동을 행동이 마인드를 마인드가 마음가짐이 마음가짐을 태도가 태도를 태도는,사람은 생각하는 대로 됩니다. 사람은 자신이 느끼는 것을 끌어당깁니다. 사람은 상상하는 것을 창조합니다. 부처
자아성찰을 반성을 자시반성을 반성하는 반성하고 반성 마인드가 마인드를 마음가짐이 마음가짐을 태도가 태도를,우리는 나이가 들면서 변하는 게 아니다. 보다 자기 다워지는 것이다. 린홀
게으르게 게으르지 게을러 게을러서 게으른 게으름 보상을 보상받고 결과과 결과를 열심히 부지런히 대가를,"게으르지 않음은 영원한 삶의 집이요, 게으름은 죽음의 집이다."
긍정적으로 긍정적인 부정적인 부정적으로 마인드가 마인드를 마음가짐이 마음가짐을 믿음 믿고 믿어서 믿는,"나는 날마다, 모든 면에서, 점점 더 좋아지고 있다."
인생은 인생의 인생에서 적당한 적절한 타이밍을 타이밍이 타이밍 깨달아서 깨달은 깨달았고,인생에 뜻을 세우는데 적당한 때는 없다. 볼드윈
실패를 실패해서 실패한 실패 도전적인 도전을 도전이 의욕이 의지가 교훈을 교훈 명심해야,실패는 잊어라. 하지만 그것이 준 교훈은 절대 잊으면 안된다. 하버트 개서
행복이 행복은 행복하고 불행은 불행이 불행을 웃어서 웃는 웃고,"우리는 행복하기 때문에 웃는 게 아니라, 웃기 때문에 행복하다. 윌리엄 제임스"
자아성찰을 반성을 반성하는 반성하고 자기반성을,너 자신이 돼라. 다른 사람은 이미 있으니까. 오스카 와일드
인생은 인생의 인생에서 자신감 자신감이 자신감을 위로받고 위로하는 위로가 위로를 응원을,"인생은 가까이서 보면 비극, 멀리서 보면 희극이다. 찰리 채플린"
시간관리를 시간관리 시간을 시간에,승자는 시간을 관리하며 살고 패자는 시간에 끌려 산다. J. 하비스
인생은 인생의 인생에서 실수를 실수가 실수는 고민되고 고민된다 걱정되고 걱정된다 불안하다 불안한 불안함을,인생을 다시 산다면 다음번에는 더 많은 실수를 저지르리라. 나딘 스테어
최고가 최고를 최고의 최상의 노력하는 노력하고 결과를 결과가 열심히 열정을 열정적으로,최고에 도달하려면 최저에서 시작하라. P.시루스
배움은 배움이 배워서 배우고 인생에서 배움의,"배움은 의무도, 생존도 아니다. 애드워즈 데밍"
꾸준히 끝까지 꾸준하게 꾸준한 노력을 노력이 노력하는 노력하면 참고 견디는 견딜 행동을 실천을,행동의 가치는 그 행동을 끝까지 이루는 데 있다. 칭기스칸
행동을 실천을 의욕이 변화를 변화시키고 변화가 성장하는 성장하고 지금 당장,아무것도 하지 않으면 아무 일도 일어나지 않는다. 기시미 이치로
행동을 실천을 의욕이 변화를 변화시키고 변화가 성장하는 성장하고 지금 당장,일단 시작해라. 나중에 완벽해지면 된다. 론 무어
인생은 인생의 인생에서 시간을 시간에 참고 견디는 견딜 버티는 버티면 힘들다 힘들어서 힘든 힘드니까,겨울이 오면 봄이 멀지 않으리. 셸리
희망을 희망이 희망 의욕을 의욕이 자신감이 자신감을 자기애를 자기애가 자존감이 자존감을 믿음을 믿고,내 비장의 무기는 아직 손 안에 있다. 그것은 희망이다. 나폴레옹
위험을 위험한 무모한 무모하게 도전을 도전이 용기를 용기있는 용기있게 실천을 실행을 도전하는 도전해서,가장 큰 위험은 위험 없는 삶이다. 스티븐 코비
미루고 미뤄서 미루는 미루지 미뤘고 실천을 실행을 제때 제때에 그때그때,오늘 할 수 있는 일을 내일로 미루지 마라. 벤자민 프랭클린
위험을 위험한 무모한 무모하게 도전을 도전이 용기를 용기있는 용기있게 실천을 실행을 도전하는 도전해서,위험은 자신이 무엇을 하는지 모르는 데서 온다. 워렌 버핏
인생은 인생의 인생에서 사람들과 사람들이 인간 인간관계를 인간관계에서 관계를,모든 사람들로부터 사랑받지 않아도 된다. 니체
망설임 망설이고 망설여서 망설이니까 망설임이 망설임을 두려움이 두려워서 불안하다 불안한 걱정이 고민이,망설이면 두려움만 커진다.
성공하고 성공을 성공이 실패를 실패가 불안하다 불안한 불안감을 걱정이 걱정을 고민이 고민을,우리 자신에게 실패를 허락하는 것이 성공을 허락하는 것이다.
현재 현재를 현재에 지금을 지금 노력하는 노력하고 노력해서 의지를 의지박약인 의지가 꾸준히 꾸준하게,미래를 만드는 건 현재다.
믿음을 믿음이 믿는 믿고 자신감을 자신감이 자기애를 자존감을 자존감이 자기만족을 긍정적으로 긍정적인,못하는 일에 초점 맞추기를 그만하면 자기가 어떤 일을 할 수 있는지 알고 놀라게 될 것이다. 앨릭스 코브
인생은 인생의 인생에서 시간을 시간에 참고 견디는 견딜 버티는 버티면 힘들다 힘들어서 힘든 힘드니까,인내가 최상의 미덕이다. 카토
익숙함을 익숙함이 익숙해서 익숙한 새로움이 새로움을 새로이 새로 설레임을 설레임이 설렘을 설레서,익숙함을 당연하게 생각하지 마세요.
인생은 인생의 인생에서 삶은 삶이 삶에서 가치를 가치가 가치있는 믿음을 믿는 믿고 신뢰를 신뢰가,삶이 가치가 있다고 믿어라. 그러면 그 믿음은 현실이 될 것이다. 윌리엄 제임스
희망을 희망은 의욕적인 의욕이 의욕을 의욕없는 긍정적으로 긍정적인 긍정의,가난은 가난하다고 느끼는 곳에 존재한다. 에머슨
삶이 인생은 인생의 인생에서 희망을 희망이 용기를 용기가 용기있는 용기있게,삶이 있는 한 희망은 있다. 키케로
즐기는 즐기고 피할 피하지 피하고 수용하고 받아들이고 받아들이면 받아들이는 정면으로,피할 수 없으면 즐겨라. 로버트 엘리엇
실행을 행동을 실천을 실천하는 실천하지 노력을 노력하는 노력해서 노력하고 도전을 도전하는,계단을 밟아야 계단 위에 올라설 수 있다.
행복하고 행복할 행복은 행복이 긍정적으로 긍정적인 긍정의 의욕이 의욕없는 의지를 의지,행복은 습관이다. 허버드
도전을 도전정신을 도전하는 용기를 용기가 용기없는 실천하는 실천하고,"아무런 위험을 감수하지 않는다면, 더 큰 위험을 감수하게 될 것이다. 에리카 종"
도전하는 도전하고 도전이을 도전하는 도전하고 도전이정신을 용기를 용기가 의욕이 의욕을 의욕없는 의욕상실 실행하는 실행을 실천하는 실천을 실천이 행동하는 행동을,훌륭한 사람과 어리석은 사람의 차이는 불과 한 걸음 차이다. 나폴레옹
운명 인생은 인생이 인생에서 삶을 삶이 노력하는 노력해서 노력을 노력이 실행하는 실행을 행동하는 행동을 실천하는 실천을 실천이,정해진 것은 아무것도 없다. 정해진 운명 또한 없다. 도교
의욕이 의욕을 의욕없는 의욕상실 노력하는 노력해서 노력을 노력이 절실한 절실해서,당신의 하루하루를 당신의 마지막 날이라고 생각하라. 호라티우스
기회를 기회가 실천하는 실천을 실천이 노력하는 노력해서 노력을 노력이 행동하는 행동을,작은 기회로부터 위대한 업적이 시작된다. 데모스테네스
인생은 인생이 인생에서 노력하는 노력해서 노력을 노력이 꾸준히 꾸준하게 의지가 의지를 의지박약인,인생은 자전거를 타는 것과 같다. 쓰러지지 않으려면 뛰어야 한다. 아인슈타인
현재 지금 노력하는 노력해서 노력을 노력이 의욕이 의욕을 의욕없는 의욕상실 의지가 의지를 의지박약인,미래는 지금이다. 마거릿 미드
실패가 실패를 실패하면 성공을 성공하고 결과를 결과가 노력하는 노력해서 노력을 노력이,실패는 성공을 돋보이게 하는 조미료. 트루먼 카포티
실패가 실패를 실패하면 성공을 성공하고 결과를 결과가 노력하는 노력해서 노력을 노력이,실패로부터 배울 수 있다면 그 실패는 성공이다. 말콤 포브스
꿈을 꿈이 인생은 인생이 인생에서 삶을 삶이 도전하는 도전하고 도전이 용기를 용기가,꿈을 꾸기에 인생은 빛난다. 모차르트
인생은 인생이 인생에서 삶을 삶이 길이 길을 캄캄한 캄캄하고 어둡고 어두워 어두워서,"길을 잃는다는 것은 곧, 길을 알게 되는 것이다."
인생은 인생이 인생에서 삶을 삶이 방법을 방법이 방향을 방향이 응원하는 응원하고,인생의 비결은 그것을 다루는 방법입니다. 헬렌 미렌
자기만족을 자기만족이 자기만족해서 행복을 행복이 행복해서 행복한 불행을 불행을 불행해서 불행하니까,"스스로 행복하다고 믿지 않으면, 그 누구도 행복할 수 없다. 푸블릴리우스 시루스"
시간이 시간을 시간부족이,변명 중에서 가장 어리석은 별명은 '시간이 없어서'이다. 에디슨
인연이 인연을 인연이라고 인연이라서 인간 인간관계를 인간관계가 인간관계에서 관계를 관계가 관계에서,"만남은 인연이다, 소중한 인연 소중하게 대하라."
인생은 인생이 인생에서 경험이 경험을 경험해서 경험하고 현실이 현실을 현실에서 삶을 삶이,인생은 풀어야 하는 문제가 아니라 경험해야 하는 현실이다.
인생은 인생이 인생에서 현실이 현실을 현실에서 삶을 삶이 변화가 변화를 변화하는 변화하고 노력하는 노력해서 노력을 노력이,인생은 스스로 되풀이하면서 변화하는 모습의 연속이 아닐까? 앤디 워홀
꿈을 꿈이 실천하는 실천을 실천이 실행하는 실행을 노력하는 노력해서 노력을 노력이,"꿈을 꿀 수 있다면, 그 꿈을 실현할 수 있다. 월트 디즈니"
노력하는 노력해서 노력을 노력이 실천하는 실천을 실천이 실행하는 실행을 결과를 결과가 꿈을 꿈이,오랫동안 꿈을 그리는 사람은 마침내 그 꿈을 닮아간다. 앙드레 말로
실행하는 실행을 실천하는 실천을 실천이 노력하는 노력해서 노력을 노력이 행동하는 행동을 의지가 의지를 의지박약인,"아는 것이 아니라, 하는 것이 힘이다. 우종민"
용기를 용기가 실천하는 실천을 실천이 변화가 변화를 변화하는 변화하고,"가장 필요한 용기가 있다면, 그것은 나를 기꺼이 바꿀 용기. 이동영"
성장하는 성장한 성장이 성장을 성공을 성공하고 실패가 실패를 실패하면 만족 자기만족을 자기만족이 자기만족해서,만족이 성장을 멈추게 한다. 필립스 브룩스
인생은 인생이 인생에서 길이 길을 노력하는 노력해서 노력을 노력이 삶을 삶이,길이란 정해진 것이 아니다. 가다보면 길이 생기는 법. 그것이 바로 길이다. 루쉰
삶을 삶이 인생은 인생이 인생에서 용기를 용기가 수용하는 수용할 수용해서,"원하는 삶을 살기 위해, 원하지 않는 삶을 기꺼이 받아들이는 용기를 얻어라."
후회하는 후회하고 후회해서 노력하는 노력해서 노력을 노력이 인생은 인생이 인생에서 삶을 삶이,후회하기 싫으면 그렇게 살지말고 그렇게 살거면 후회하지 마라. 무라카미 하루키
방향을 방향이 노력하는 노력해서 노력을 노력이 천천히 꾸준히 꾸준하게,인생은 속도가 아니라 방향이다.
주저하는 주저하고 주저하게 망설이는 망설이고 망설일때 망설이게 실행하는 실행을 실천하는 실천을 실천이 행동하는 행동을,"덜 생각하고, 더 실행에 옮기세요."
이별을 이별하고 이별했는데 이별이 헤어짐이 헤어짐을 헤어져서 헤어 슬프고 슬퍼서 아프고 아파서 아픈,"슬픔은 나약함이 드러난 것도, 믿음이 부족한 것도 아니다. 그저 사랑의 대가일 뿐이다."
아량이 아량을 이해가 이해를 이해되는 이해할 배려하는 배려해서 배려를 배려심을 배려심이,큰 마음이 큰 영혼을 키운다.
외로움이 외로움을 그리움이 그리움을 그리워서 극복을 극복하고 극복하는 헤어짐이 헤어짐을 헤어져서 헤어,외로움을 극복한 사람만이 당당하게 홀로 설 수 있다.
인생은 인생이 인생에서 결과를 결과가 과정 노력하는 노력해서 노력을 노력이,"눈 앞의 꽃만 보지 말고, 꽃이 피기까지 그의 일생을 들여다보라. 그도 비바람에 많이 아팠다."
마음 인생은 인생이 인생에서 삶을 삶이 자아성찰,마음을 다스린다는 것은 마음의 생사여탈권을 내가 쥐고 주인공으로 사는 것을 뜻합니다.
인내 순응 수용하는 수용할 수용해서 꾸준히 꾸준하게 노력하는 노력해서 노력을 노력이,참고 기다리며 순응하지 않고 한 송이 꽃인들 피울 수 있는가?
불운 행운 불행을 불행을 불행해서 불행하니까 행복을 행복이 행복해서 행복한 어려운 다행,어려운 일이 닥치면 이런 마음을 가지세요. '어쩌면 내게 더 큰 일이 생길 수도 있었는데 이 정도여서 정말 다행입니다.' 그러면 불운조차 행운이 됩니다.
행복을 행복이 행복해서 행복한 불행을 불행을 불행해서 불행하니까 불운 고통 성장하는 성장한 성장이 성장을,행복의 이유를 밖에서 찾으면 한없이 가난하게 느껴지지만 내 안에서 찾으면 우리 모두는 엄청난 부자가 될 수 있다.
인생은 인생이 인생에서 삶을 삶이 고통 힘들 힘든 성장하는 성장한 성장이 성장을 배움을 배움이,한 그루의 나무가 나이테 한 줄을 키울 때 고통을 경험하듯 우리의 삶도 고통을 통해 성장하고 배운다.
결점을 결점이 단점을 단점이 증오를 증오하지 증오가 증오심이 증오심을,"증오심은 미운 사람의 결점은 크게 보게 하고, 장점은 무시하게 만든다."
자기위로를 자기위로하는 위로를 위로받고 위로하는 위로가,오늘은 귀한 손님을 대접하듯 자신에게 한 잔의 차를 대접하세요.
게으르지 게으른 게을러서 게으르게 게으름을 열심히 노력하는 노력해서 노력을 노력이,한 번 게으름을 허락하면 그 게으름은 어떤 구실로든지 떠나려 하지 않는다.
마음을 마음이 마음가짐이 마음가짐을을 마음가짐이 마음가짐을이 ,어떻게 보이고 싶다고 해서 그렇게 보여지는 것이 아니다. 보는 사람이 어떻게 보느냐에 따라 삼각산이 뾰족하게도 보이고 둥글게도 보이는 것이다.
용서를 용서하는 용서해서 용서할 미움 증오를 증오하지 증오가 증오심이 증오심을 미워하 미워,용서가 힘든 것은 나를 넘어서는 일이기 때문이다.
타인 용서를 용서하는 용서해서 용서할 배려하는 배려를 배려가 배려심이 이해가 이해를 이해되는 이해할,모름지기 자기에게는 엄하고 다른 사람에게는 자비를 베푸는 삶이라야 향기가 납니다.
자기만족을 자기만족이 자기만족해서 행복을 행복이 행복해서 행복한 불행해서 불행하니까 위로를 위로받고,"우리는 자신을 가여운 사람으로 만들 수도, 행복한 사람으로 만들 수도 있다. 사실 둘 다 드는 힘은 똑같다."
두려움을 두려움이 두려워서 불안한 불안해서 불안감을 불안감이 고민을 고민이 걱정을 걱정이 걱정되는,다른 사람들이 해낸 일을 당신은 할 수 없다고 말하는 존재는 다름 아닌 마음 깊숙이에서 당신을 대신해 말하고 있는 두려움이다.
노력하는 노력해서 노력을 노력이 꾸준히 꾸준하게 의지가 의지를 의지박약인 포기 실패가 실패를 실패하면 성공을 성공하고,당신이 실패하는 유일한 길은 노력을 포기하는 것임을 기억하라. 포기하지 않으면 실패가 아니다.
